UDI,Timestamp,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Downtime_Minutes
1712,2024-01-13 05:10:00,L48891,298.2,307.8,1355,51.3,70,0,No Failure,0
1713,2024-01-13 05:20:00,L48892,298.3,307.9,1551,33.8,72,0,No Failure,0
1714,2024-01-13 05:30:00,L48893,298.2,307.8,1515,46.7,74,0,No Failure,0
1715,2024-01-13 05:40:00,L48894,298.2,307.8,1388,48.6,76,0,No Failure,0
1716,2024-01-13 05:50:00,L48895,298.2,307.8,1585,34.6,78,0,No Failure,0
1717,2024-01-13 06:00:00,L48896,298.1,307.7,1523,37.7,80,0,No Failure,0
1718,2024-01-13 06:10:00,L48897,298.2,307.6,1369,54.5,82,0,No Failure,0
1719,2024-01-13 06:20:00,M16578,298.2,307.7,1681,31.0,84,0,No Failure,0
1720,2024-01-13 06:30:00,L48899,298.2,307.7,1503,38.3,87,0,No Failure,0
1721,2024-01-13 06:40:00,L48900,298.2,307.7,1459,44.5,89,0,No Failure,0
1722,2024-01-13 06:50:00,L48901,298.2,307.7,1688,32.4,91,0,No Failure,0
1723,2024-01-13 07:00:00,M16582,298.2,307.7,1952,21.6,93,0,No Failure,0
1724,2024-01-13 07:10:00,L48903,298.2,307.8,2029,19.9,96,0,No Failure,0
1725,2024-01-13 07:20:00,M16584,298.3,307.8,1457,52.5,98,0,No Failure,0
1726,2024-01-13 07:30:00,M16585,298.3,307.8,1392,50.4,101,0,No Failure,0
1727,2024-01-13 07:40:00,L48906,298.3,307.8,1906,22.1,104,0,No Failure,0
1728,2024-01-13 07:50:00,M16587,298.3,307.7,1602,33.4,106,0,No Failure,0
1729,2024-01-13 08:00:00,L48908,298.3,307.7,1465,49.4,109,0,No Failure,0
1730,2024-01-13 08:10:00,M16589,298.3,307.7,1439,43.8,111,0,No Failure,0
1731,2024-01-13 08:20:00,M16590,298.3,307.8,1330,55.4,114,0,No Failure,0
1732,2024-01-13 08:30:00,M16591,298.3,307.9,1485,42.0,117,0,No Failure,0
1733,2024-01-13 08:40:00,H31146,298.4,307.9,1700,28.2,120,0,No Failure,0
1734,2024-01-13 08:50:00,L48913,298.4,308.0,1515,42.8,125,0,No Failure,0
1735,2024-01-13 09:00:00,M16594,298.5,308.1,1501,39.2,127,0,No Failure,0
1736,2024-01-13 09:10:00,L48915,298.4,308.0,1380,47.6,130,0,No Failure,0
1737,2024-01-13 09:20:00,L48916,298.4,307.9,1544,35.9,132,0,No Failure,0
1738,2024-01-13 09:30:00,L48917,298.4,307.9,1743,27.3,134,0,No Failure,0
1739,2024-01-13 09:40:00,H31152,298.4,307.9,1948,21.4,136,0,No Failure,0
1740,2024-01-13 09:50:00,H31153,298.5,307.9,1260,54.2,141,0,No Failure,0
1741,2024-01-13 10:00:00,M16600,298.5,307.9,1640,33.1,146,0,No Failure,0
1742,2024-01-13 10:10:00,M16601,298.5,308.0,1363,49.2,149,0,No Failure,0
1743,2024-01-13 10:20:00,L48922,298.5,308.0,1379,49.6,152,0,No Failure,0
1744,2024-01-13 10:30:00,M16603,298.5,308.0,1713,25.8,154,0,No Failure,0
1745,2024-01-13 10:40:00,M16604,298.5,308.0,1461,51.9,157,0,No Failure,0
1746,2024-01-13 10:50:00,L48925,298.5,308.0,1624,29.8,160,0,No Failure,0
1747,2024-01-13 11:00:00,L48926,298.4,308.0,1526,41.1,162,0,No Failure,0
1748,2024-01-13 11:10:00,L48927,298.4,307.9,2381,14.2,164,0,No Failure,0
1749,2024-01-13 11:20:00,H31162,298.4,307.7,1626,31.1,166,0,Random Failures,0
1750,2024-01-13 11:30:00,L48929,298.3,307.7,1576,33.8,171,0,No Failure,0
1751,2024-01-13 11:40:00,M16610,298.4,307.8,1617,31.6,173,0,No Failure,0
1752,2024-01-13 11:50:00,L48931,298.3,307.6,1942,20.6,176,0,No Failure,0
1753,2024-01-13 12:00:00,L48932,298.2,307.6,1492,37.2,178,0,No Failure,0
1754,2024-01-13 12:10:00,L48933,298.2,307.5,1470,51.3,180,0,No Failure,0
1755,2024-01-13 12:20:00,M16614,298.0,307.4,1463,46.5,182,0,No Failure,0
1756,2024-01-13 12:30:00,L48935,298.0,307.3,1424,46.5,185,0,No Failure,0
1757,2024-01-13 12:40:00,M16616,298.1,307.4,1363,60.1,187,0,No Failure,0
1758,2024-01-13 12:50:00,M16617,298.1,307.4,1335,56.2,190,0,No Failure,0
1759,2024-01-13 13:00:00,L48938,298.1,307.4,1608,33.9,193,0,No Failure,0
1760,2024-01-13 13:10:00,H31173,298.0,307.4,1606,35.2,195,0,No Failure,0
1761,2024-01-13 13:20:00,L48940,298.1,307.5,1684,33.1,200,0,No Failure,0
1762,2024-01-13 13:30:00,L48941,298.1,307.6,1950,20.3,202,0,No Failure,0
1763,2024-01-13 13:40:00,H31176,298.2,307.6,1460,48.6,204,0,No Failure,0
1764,2024-01-13 13:50:00,L48943,298.2,307.6,1511,31.0,209,1,Tool Wear Failure,53
1765,2024-01-13 14:00:00,H31178,298.2,307.6,1318,55.7,0,0,No Failure,0
1766,2024-01-13 14:10:00,L48945,298.2,307.6,1368,51.8,5,0,No Failure,0
1767,2024-01-13 14:20:00,M16626,298.3,307.7,1717,27.1,7,0,No Failure,0
1768,2024-01-13 14:30:00,M16627,298.3,307.7,1520,41.4,10,0,No Failure,0
1769,2024-01-13 14:40:00,M16628,298.3,307.8,1485,42.0,13,0,No Failure,0
1770,2024-01-13 14:50:00,L48949,298.4,307.9,1981,23.2,16,0,No Failure,0
1771,2024-01-13 15:00:00,H31184,298.4,307.9,1605,31.0,18,0,No Failure,0
1772,2024-01-13 15:10:00,L48951,298.4,307.9,1446,45.3,23,0,No Failure,0
1773,2024-01-13 15:20:00,L48952,298.4,308.0,1508,47.9,25,0,No Failure,0
1774,2024-01-13 15:30:00,L48953,298.5,308.0,1384,59.5,27,0,No Failure,0
1775,2024-01-13 15:40:00,M16634,298.5,308.0,1519,37.3,29,0,No Failure,0
1776,2024-01-13 15:50:00,L48955,298.5,308.0,1404,48.1,32,0,No Failure,0
1777,2024-01-13 16:00:00,L48956,298.5,308.1,1564,31.1,34,0,No Failure,0
1778,2024-01-13 16:10:00,H31191,298.6,308.2,1555,36.8,36,0,No Failure,0
1779,2024-01-13 16:20:00,L48958,298.6,308.2,1325,54.0,41,0,No Failure,0
1780,2024-01-13 16:30:00,M16639,298.6,308.2,1488,44.0,43,0,No Failure,0
1781,2024-01-13 16:40:00,L48960,298.5,308.2,1595,32.3,46,0,No Failure,0
1782,2024-01-13 16:50:00,L48961,298.5,308.1,1662,28.6,48,0,No Failure,0
1783,2024-01-13 17:00:00,L48962,298.4,308.0,1571,37.4,50,0,No Failure,0
1784,2024-01-13 17:10:00,H31197,298.3,308.0,1553,41.0,52,0,No Failure,0
1785,2024-01-13 17:20:00,L48964,298.3,308.0,2886,3.8,57,1,Power Failure,131
1786,2024-01-13 17:30:00,L48965,298.2,308.0,1538,38.2,59,0,No Failure,0
1787,2024-01-13 17:40:00,L48966,298.4,308.2,1618,33.0,61,0,No Failure,0
1788,2024-01-13 17:50:00,L48967,298.4,308.2,1364,45.9,63,0,No Failure,0
1789,2024-01-13 18:00:00,L48968,298.3,308.0,1442,47.3,65,0,No Failure,0
1790,2024-01-13 18:10:00,L48969,298.2,307.9,1313,67.3,67,1,Power Failure,221
1791,2024-01-13 18:20:00,L48970,298.2,307.9,1847,23.6,69,0,No Failure,0
1792,2024-01-13 18:30:00,L48971,298.1,307.8,1524,40.8,71,0,No Failure,0
1793,2024-01-13 18:40:00,M16652,298.1,307.7,1445,48.0,73,0,No Failure,0
1794,2024-01-13 18:50:00,L48973,298.1,307.8,1761,28.2,76,0,No Failure,0
1795,2024-01-13 19:00:00,M16654,298.1,307.8,1514,43.5,78,0,No Failure,0
1796,2024-01-13 19:10:00,M16655,298.1,307.7,1498,38.3,81,0,No Failure,0
1797,2024-01-13 19:20:00,H31210,298.1,307.6,1542,37.1,84,0,No Failure,0
1798,2024-01-13 19:30:00,M16657,298.0,307.6,1508,41.8,89,0,No Failure,0
1799,2024-01-13 19:40:00,M16658,298.0,307.5,1431,52.9,92,0,No Failure,0
1800,2024-01-13 19:50:00,M16659,298.0,307.5,1427,45.1,95,0,No Failure,0
1801,2024-01-13 20:00:00,M16660,298.0,307.5,1524,36.3,98,0,No Failure,0
1802,2024-01-13 20:10:00,M16661,298.0,307.5,1427,43.6,101,0,No Failure,0
1803,2024-01-13 20:20:00,H31216,298.1,307.6,1496,44.1,104,0,No Failure,0
1804,2024-01-13 20:30:00,L48983,298.1,307.7,1388,40.3,109,0,No Failure,0
1805,2024-01-13 20:40:00,L48984,298.1,307.7,1495,48.1,111,0,No Failure,0
1806,2024-01-13 20:50:00,H31219,298.1,307.7,1376,56.2,113,0,No Failure,0
1807,2024-01-13 21:00:00,H31220,298.0,307.6,1593,32.2,118,0,No Failure,0
1808,2024-01-13 21:10:00,L48987,298.0,307.6,1654,28.9,123,0,No Failure,0
1809,2024-01-13 21:20:00,L48988,298.1,307.7,2567,12.8,125,1,Power Failure,215
1810,2024-01-13 21:30:00,L48989,298.1,307.7,1767,27.0,127,0,No Failure,0
1811,2024-01-13 21:40:00,L48990,298.1,307.6,1364,53.8,129,0,No Failure,0
1812,2024-01-13 21:50:00,M16671,298.1,307.8,1569,31.2,131,0,No Failure,0
1813,2024-01-13 22:00:00,L48992,298.2,307.8,1476,36.8,134,0,No Failure,0
1814,2024-01-13 22:10:00,L48993,298.1,307.7,1479,45.0,136,0,No Failure,0
1815,2024-01-13 22:20:00,L48994,298.1,307.7,1650,34.1,138,0,No Failure,0
1816,2024-01-13 22:30:00,M16675,298.1,307.6,1565,36.3,140,0,No Failure,0
1817,2024-01-13 22:40:00,L48996,298.1,307.6,1460,46.5,143,0,No Failure,0
1818,2024-01-13 22:50:00,L48997,298.1,307.7,1664,27.6,145,0,No Failure,0
1819,2024-01-13 23:00:00,M16678,298.1,307.7,1435,40.9,147,0,No Failure,0
1820,2024-01-13 23:10:00,M16679,298.1,307.6,2066,19.2,150,0,No Failure,0
1821,2024-01-13 23:20:00,L49000,298.1,307.5,1493,43.7,153,0,No Failure,0
1822,2024-01-13 23:30:00,L49001,298.1,307.6,1354,43.3,155,0,No Failure,0
1823,2024-01-13 23:40:00,L49002,298.1,307.6,1488,39.4,157,0,No Failure,0
1824,2024-01-13 23:50:00,L49003,298.1,307.7,1414,48.7,159,0,No Failure,0
1825,2024-01-14 00:00:00,L49004,298.1,307.5,1391,57.4,161,0,No Failure,0
1826,2024-01-14 00:10:00,M16685,298.0,307.5,1784,27.8,163,0,No Failure,0
1827,2024-01-14 00:20:00,H31240,297.8,307.3,1516,40.1,166,0,No Failure,0
1828,2024-01-14 00:30:00,M16687,297.9,307.3,1420,47.8,171,0,No Failure,0
1829,2024-01-14 00:40:00,L49008,297.8,307.2,1351,56.3,174,0,No Failure,0
1830,2024-01-14 00:50:00,L49009,297.8,307.2,1880,23.0,176,0,No Failure,0
1831,2024-01-14 01:00:00,L49010,297.8,307.3,1859,24.0,178,0,No Failure,0
1832,2024-01-14 01:10:00,M16691,297.8,307.3,1315,54.0,180,0,No Failure,0
1833,2024-01-14 01:20:00,M16692,297.8,307.4,1330,51.7,183,0,No Failure,0
1834,2024-01-14 01:30:00,L49013,297.8,307.3,1327,61.0,186,1,Overstrain Failure,132
1835,2024-01-14 01:40:00,L49014,297.8,307.2,1498,38.1,188,0,No Failure,0
1836,2024-01-14 01:50:00,H31249,297.8,307.3,1555,35.8,190,0,No Failure,0
1837,2024-01-14 02:00:00,L49016,297.7,307.2,1518,35.8,195,0,No Failure,0
1838,2024-01-14 02:10:00,L49017,297.7,307.2,1392,43.0,197,0,No Failure,0
1839,2024-01-14 02:20:00,M16698,297.8,307.2,1456,39.6,199,0,No Failure,0
1840,2024-01-14 02:30:00,L49019,297.7,307.1,1715,30.2,0,0,No Failure,0
1841,2024-01-14 02:40:00,M16700,297.7,307.2,1405,43.7,2,0,No Failure,0
1842,2024-01-14 02:50:00,L49021,297.7,307.2,1668,37.8,5,0,No Failure,0
1843,2024-01-14 03:00:00,H31256,297.7,307.1,1855,22.5,7,0,No Failure,0
1844,2024-01-14 03:10:00,L49023,297.6,307.1,1496,39.2,12,0,No Failure,0
1845,2024-01-14 03:20:00,M16704,297.6,307.1,1471,44.9,14,0,No Failure,0
1846,2024-01-14 03:30:00,L49025,297.7,307.2,1444,40.0,17,0,No Failure,0
1847,2024-01-14 03:40:00,H31260,297.7,307.3,1514,38.6,19,0,No Failure,0
1848,2024-01-14 03:50:00,L49027,297.8,307.3,1412,50.7,24,0,No Failure,0
1849,2024-01-14 04:00:00,H31262,297.7,307.2,1429,44.1,26,0,No Failure,0
1850,2024-01-14 04:10:00,L49029,297.7,307.2,1668,32.7,31,0,No Failure,0
1851,2024-01-14 04:20:00,M16710,297.7,307.2,1372,52.8,33,0,No Failure,0
1852,2024-01-14 04:30:00,M16711,297.7,307.3,1365,49.2,36,0,No Failure,0
1853,2024-01-14 04:40:00,M16712,297.6,307.1,1526,39.1,39,0,No Failure,0
1854,2024-01-14 04:50:00,L49033,297.6,307.2,1486,40.6,42,0,No Failure,0
1855,2024-01-14 05:00:00,M16714,297.6,307.2,1470,42.6,44,0,No Failure,0
1856,2024-01-14 05:10:00,H31269,297.7,307.3,1249,62.8,47,0,No Failure,0
1857,2024-01-14 05:20:00,M16716,297.8,307.4,1752,26.1,52,0,No Failure,0
1858,2024-01-14 05:30:00,L49037,297.7,307.4,1643,36.5,55,0,No Failure,0
1859,2024-01-14 05:40:00,M16718,297.8,307.4,1488,36.1,57,0,No Failure,0
1860,2024-01-14 05:50:00,L49039,297.8,307.4,1355,45.8,60,0,No Failure,0
1861,2024-01-14 06:00:00,L49040,297.8,307.6,1607,30.3,62,0,No Failure,0
1862,2024-01-14 06:10:00,M16721,297.9,307.6,1609,30.3,64,0,No Failure,0
1863,2024-01-14 06:20:00,L49042,297.9,307.7,1517,44.4,67,0,No Failure,0
1864,2024-01-14 06:30:00,M16723,297.9,307.7,1517,39.5,69,0,No Failure,0
1865,2024-01-14 06:40:00,L49044,297.9,307.7,1546,37.6,72,0,No Failure,0
1866,2024-01-14 06:50:00,L49045,297.9,307.7,1567,34.7,74,0,No Failure,0
1867,2024-01-14 07:00:00,M16726,298.1,307.9,1662,28.9,76,0,No Failure,0
1868,2024-01-14 07:10:00,L49047,298.1,307.9,1502,41.8,79,0,No Failure,0
1869,2024-01-14 07:20:00,L49048,298.3,308.0,1361,56.9,81,0,No Failure,0
1870,2024-01-14 07:30:00,M16729,298.3,308.1,1630,32.7,83,0,No Failure,0
1871,2024-01-14 07:40:00,L49050,298.3,308.0,1486,42.3,86,0,No Failure,0
1872,2024-01-14 07:50:00,L49051,298.3,308.1,1840,21.5,88,0,No Failure,0
1873,2024-01-14 08:00:00,L49052,298.3,308.1,1326,58.4,90,0,No Failure,0
1874,2024-01-14 08:10:00,L49053,298.4,308.1,1367,57.8,92,0,No Failure,0
1875,2024-01-14 08:20:00,L49054,298.4,308.1,1598,32.7,94,0,No Failure,0
1876,2024-01-14 08:30:00,L49055,298.3,308.0,1363,50.1,96,0,No Failure,0
1877,2024-01-14 08:40:00,L49056,298.3,308.0,1242,62.0,98,0,No Failure,0
1878,2024-01-14 08:50:00,M16737,298.2,307.8,1566,33.8,100,0,No Failure,0
1879,2024-01-14 09:00:00,M16738,298.1,307.7,1424,47.7,103,0,No Failure,0
1880,2024-01-14 09:10:00,M16739,298.2,307.7,1608,33.8,106,0,No Failure,0
1881,2024-01-14 09:20:00,L49060,298.1,307.7,1705,29.1,109,0,No Failure,0
1882,2024-01-14 09:30:00,L49061,298.0,307.6,1548,45.8,111,0,No Failure,0
1883,2024-01-14 09:40:00,M16742,298.0,307.6,1581,43.4,113,0,No Failure,0
1884,2024-01-14 09:50:00,M16743,298.0,307.6,1472,46.7,116,0,No Failure,0
1885,2024-01-14 10:00:00,M16744,298.0,307.6,1792,26.0,119,0,No Failure,0
1886,2024-01-14 10:10:00,L49065,298.0,307.6,1683,32.8,122,0,No Failure,0
1887,2024-01-14 10:20:00,L49066,297.9,307.6,1503,40.7,124,0,No Failure,0
1888,2024-01-14 10:30:00,M16747,297.9,307.5,1642,32.4,126,0,No Failure,0
1889,2024-01-14 10:40:00,M16748,297.8,307.4,1902,24.3,129,0,No Failure,0
1890,2024-01-14 10:50:00,H31303,297.7,307.4,1432,40.2,132,0,No Failure,0
1891,2024-01-14 11:00:00,L49070,297.8,307.4,1512,40.8,137,0,No Failure,0
1892,2024-01-14 11:10:00,L49071,297.7,307.4,1764,29.0,139,0,No Failure,0
1893,2024-01-14 11:20:00,M16752,297.8,307.4,1438,43.6,141,0,No Failure,0
1894,2024-01-14 11:30:00,L49073,297.8,307.5,1631,29.9,144,0,No Failure,0
1895,2024-01-14 11:40:00,H31308,297.9,307.5,1880,23.3,146,0,No Failure,0
1896,2024-01-14 11:50:00,L49075,297.9,307.6,1344,54.3,151,0,No Failure,0
1897,2024-01-14 12:00:00,L49076,297.9,307.5,1574,35.8,153,0,No Failure,0
1898,2024-01-14 12:10:00,L49077,297.8,307.4,1418,41.2,155,0,No Failure,0
1899,2024-01-14 12:20:00,L49078,297.8,307.5,1372,54.1,157,0,No Failure,0
1900,2024-01-14 12:30:00,L49079,297.8,307.5,1388,40.0,159,0,No Failure,0
1901,2024-01-14 12:40:00,H31314,297.9,307.6,1493,36.0,161,0,No Failure,0
1902,2024-01-14 12:50:00,M16761,297.9,307.6,1505,40.1,166,0,No Failure,0
1903,2024-01-14 13:00:00,L49082,298.0,307.6,1694,29.1,169,0,No Failure,0
1904,2024-01-14 13:10:00,L49083,297.9,307.6,1968,20.4,171,0,No Failure,0
1905,2024-01-14 13:20:00,M16764,298.0,307.6,1569,35.6,173,0,No Failure,0
1906,2024-01-14 13:30:00,L49085,297.9,307.6,1687,29.1,176,0,No Failure,0
1907,2024-01-14 13:40:00,L49086,297.9,307.6,1430,52.4,178,0,No Failure,0
1908,2024-01-14 13:50:00,L49087,297.9,307.6,1504,42.4,180,0,No Failure,0
1909,2024-01-14 14:00:00,L49088,297.9,307.6,1977,20.2,182,0,No Failure,0
1910,2024-01-14 14:10:00,L49089,298.0,307.7,1435,45.6,184,0,No Failure,0
1911,2024-01-14 14:20:00,H31324,298.0,307.7,1547,36.8,186,0,No Failure,0
1912,2024-01-14 14:30:00,M16771,298.1,307.8,1316,57.2,191,0,No Failure,0
1913,2024-01-14 14:40:00,M16772,298.0,307.7,1621,34.9,194,0,No Failure,0
1914,2024-01-14 14:50:00,M16773,298.0,307.8,1492,40.2,197,0,No Failure,0
1915,2024-01-14 15:00:00,L49094,298.0,307.7,1643,32.3,200,0,No Failure,0
1916,2024-01-14 15:10:00,L49095,298.0,307.7,1492,38.7,202,0,No Failure,0
1917,2024-01-14 15:20:00,L49096,298.0,307.7,1387,50.8,204,0,No Failure,0
1918,2024-01-14 15:30:00,M16777,298.1,307.9,1463,47.3,206,0,No Failure,0
1919,2024-01-14 15:40:00,M16778,298.1,307.9,1496,40.0,0,0,No Failure,0
1920,2024-01-14 15:50:00,L49099,298.2,308.0,1658,30.0,3,0,No Failure,0
1921,2024-01-14 16:00:00,L49100,298.1,307.9,2161,17.5,5,0,No Failure,0
1922,2024-01-14 16:10:00,L49101,298.1,307.9,1665,32.0,7,0,No Failure,0
1923,2024-01-14 16:20:00,L49102,298.0,307.8,1716,26.6,9,0,No Failure,0
1924,2024-01-14 16:30:00,L49103,298.0,307.7,1529,34.1,11,0,No Failure,0
1925,2024-01-14 16:40:00,L49104,297.9,307.7,1353,50.7,13,0,No Failure,0
1926,2024-01-14 16:50:00,L49105,297.9,307.7,1537,37.7,15,0,No Failure,0
1927,2024-01-14 17:00:00,L49106,298.0,307.7,1606,30.8,17,0,No Failure,0
1928,2024-01-14 17:10:00,H31341,298.0,307.8,1314,47.8,19,0,No Failure,0
1929,2024-01-14 17:20:00,L49108,298.0,307.8,1623,29.9,24,0,No Failure,0
1930,2024-01-14 17:30:00,M16789,298.0,307.8,1483,50.9,26,0,No Failure,0
1931,2024-01-14 17:40:00,M16790,298.1,307.9,1569,37.0,29,0,No Failure,0
1932,2024-01-14 17:50:00,M16791,298.2,308.0,1969,21.7,32,0,No Failure,0
1933,2024-01-14 18:00:00,M16792,298.1,308.0,1686,29.3,35,0,No Failure,0
1934,2024-01-14 18:10:00,L49113,298.1,308.0,1638,35.1,38,0,No Failure,0
1935,2024-01-14 18:20:00,L49114,298.1,307.9,1698,33.3,40,0,No Failure,0
1936,2024-01-14 18:30:00,M16795,298.1,307.9,1377,55.1,42,0,No Failure,0
1937,2024-01-14 18:40:00,M16796,298.1,308.0,2129,18.4,45,0,No Failure,0
1938,2024-01-14 18:50:00,L49117,298.2,308.0,1411,42.4,48,0,No Failure,0
1939,2024-01-14 19:00:00,L49118,298.1,307.9,1517,40.8,50,0,No Failure,0
1940,2024-01-14 19:10:00,M16799,298.1,307.9,1303,53.9,52,0,No Failure,0
1941,2024-01-14 19:20:00,L49120,298.1,307.9,1578,35.6,55,0,No Failure,0
1942,2024-01-14 19:30:00,L49121,298.1,307.9,1425,58.2,57,0,No Failure,0
1943,2024-01-14 19:40:00,L49122,298.1,308.0,1456,42.4,59,0,No Failure,0
1944,2024-01-14 19:50:00,L49123,298.1,308.0,1704,30.9,61,0,No Failure,0
1945,2024-01-14 20:00:00,L49124,298.1,308.1,1791,27.3,63,0,No Failure,0
1946,2024-01-14 20:10:00,L49125,298.1,308.1,1616,32.8,65,0,No Failure,0
1947,2024-01-14 20:20:00,L49126,298.2,308.1,1622,34.9,67,0,No Failure,0
1948,2024-01-14 20:30:00,L49127,298.2,308.1,1462,49.9,69,0,No Failure,0
1949,2024-01-14 20:40:00,L49128,298.1,308.1,1410,45.8,71,0,No Failure,0
1950,2024-01-14 20:50:00,M16809,298.1,308.0,1543,41.9,73,0,No Failure,0
1951,2024-01-14 21:00:00,M16810,298.0,307.9,1479,47.6,76,0,No Failure,0
1952,2024-01-14 21:10:00,L49131,298.0,307.8,1839,22.7,79,0,No Failure,0
1953,2024-01-14 21:20:00,L49132,298.0,307.8,1266,60.5,81,0,No Failure,0
1954,2024-01-14 21:30:00,L49133,297.9,307.7,1593,34.9,83,0,No Failure,0
1955,2024-01-14 21:40:00,L49134,297.9,307.8,1459,46.9,85,0,No Failure,0
1956,2024-01-14 21:50:00,L49135,297.9,307.7,1308,55.2,87,0,No Failure,0
1957,2024-01-14 22:00:00,M16816,297.9,307.7,1364,46.8,89,0,No Failure,0
1958,2024-01-14 22:10:00,H31371,297.9,307.7,1618,35.9,92,0,No Failure,0
1959,2024-01-14 22:20:00,H31372,297.9,307.7,1464,43.2,97,0,No Failure,0
1960,2024-01-14 22:30:00,M16819,297.8,307.6,1352,49.4,102,0,No Failure,0
1961,2024-01-14 22:40:00,L49140,297.8,307.6,1446,51.4,105,0,No Failure,0
1962,2024-01-14 22:50:00,L49141,297.8,307.5,1448,51.2,107,0,No Failure,0
1963,2024-01-14 23:00:00,L49142,297.8,307.5,1391,48.6,109,0,No Failure,0
1964,2024-01-14 23:10:00,L49143,297.7,307.5,1379,43.3,111,0,No Failure,0
1965,2024-01-14 23:20:00,M16824,297.8,307.5,1405,46.9,113,0,No Failure,0
1966,2024-01-14 23:30:00,L49145,297.8,307.5,1581,33.1,116,0,No Failure,0
1967,2024-01-14 23:40:00,L49146,297.9,307.6,1515,40.5,118,0,No Failure,0
1968,2024-01-14 23:50:00,L49147,297.9,307.6,1589,37.8,120,0,No Failure,0
1969,2024-01-15 00:00:00,L49148,298.0,307.6,1281,50.8,122,0,No Failure,0
1970,2024-01-15 00:10:00,H31383,297.8,307.5,1631,31.3,124,0,No Failure,0
1971,2024-01-15 00:20:00,M16830,297.9,307.6,1202,67.0,129,0,No Failure,0
1972,2024-01-15 00:30:00,L49151,297.9,307.6,1298,52.7,132,0,No Failure,0
1973,2024-01-15 00:40:00,L49152,297.9,307.6,1612,30.7,134,0,No Failure,0
1974,2024-01-15 00:50:00,L49153,297.9,307.6,1747,25.3,136,0,No Failure,0
1975,2024-01-15 01:00:00,L49154,298.0,307.6,1450,48.7,138,0,No Failure,0
1976,2024-01-15 01:10:00,L49155,298.0,307.7,1422,45.6,140,0,No Failure,0
1977,2024-01-15 01:20:00,M16836,298.1,307.7,1419,47.4,142,0,No Failure,0
1978,2024-01-15 01:30:00,M16837,298.1,307.7,1633,30.7,145,0,No Failure,0
1979,2024-01-15 01:40:00,L49158,298.0,307.7,1442,43.6,148,0,No Failure,0
1980,2024-01-15 01:50:00,H31393,298.0,307.6,1420,45.8,150,0,No Failure,0
1981,2024-01-15 02:00:00,M16840,298.0,307.6,1301,58.5,155,0,No Failure,0
1982,2024-01-15 02:10:00,L49161,298.0,307.6,1385,45.0,158,0,No Failure,0
1983,2024-01-15 02:20:00,M16842,298.0,307.7,1487,41.3,160,0,No Failure,0
1984,2024-01-15 02:30:00,M16843,298.0,307.6,1459,44.4,163,0,No Failure,0
1985,2024-01-15 02:40:00,M16844,298.0,307.5,1387,45.5,166,0,No Failure,0
1986,2024-01-15 02:50:00,L49165,298.1,307.7,1537,40.8,169,0,No Failure,0
1987,2024-01-15 03:00:00,L49166,298.1,307.6,1498,42.9,171,0,No Failure,0
1988,2024-01-15 03:10:00,M16847,298.2,307.8,1599,31.2,173,0,No Failure,0
1989,2024-01-15 03:20:00,H31402,298.3,307.9,1420,39.2,176,0,No Failure,0
1990,2024-01-15 03:30:00,L49169,298.2,307.9,1785,23.4,181,0,No Failure,0
1991,2024-01-15 03:40:00,L49170,298.2,307.8,1423,48.1,183,0,No Failure,0
1992,2024-01-15 03:50:00,M16851,298.2,307.8,1583,36.6,185,0,No Failure,0
1993,2024-01-15 04:00:00,L49172,298.2,307.8,1375,46.6,188,0,No Failure,0
1994,2024-01-15 04:10:00,M16853,298.3,308.0,1463,42.5,190,0,No Failure,0
1995,2024-01-15 04:20:00,M16854,298.2,307.9,1403,45.1,193,0,No Failure,0
1996,2024-01-15 04:30:00,L49175,298.3,308.0,1451,47.1,196,0,No Failure,0
1997,2024-01-15 04:40:00,M16856,298.4,308.0,1416,38.2,198,1,Tool Wear Failure,207
1998,2024-01-15 04:50:00,L49177,298.3,308.1,1672,41.3,0,0,No Failure,0
1999,2024-01-15 05:00:00,H31412,298.3,308.0,1637,30.8,2,0,No Failure,0
2000,2024-01-15 05:10:00,L49179,298.4,308.0,1540,37.8,7,0,No Failure,0
2001,2024-01-15 05:20:00,L49180,298.4,308.1,1279,53.1,9,0,No Failure,0
2002,2024-01-15 05:30:00,L49181,298.4,308.2,1604,34.9,11,0,No Failure,0
2003,2024-01-15 05:40:00,L49182,298.5,308.2,1654,27.1,13,0,No Failure,0
2004,2024-01-15 05:50:00,M16863,298.5,308.2,1564,37.5,15,0,No Failure,0
2005,2024-01-15 06:00:00,L49184,298.5,308.2,1451,47.5,18,0,No Failure,0
2006,2024-01-15 06:10:00,L49185,298.5,308.3,1504,38.0,20,0,No Failure,0
2007,2024-01-15 06:20:00,M16866,298.5,308.3,1381,50.5,22,0,No Failure,0
2008,2024-01-15 06:30:00,L49187,298.6,308.4,1562,34.4,25,0,No Failure,0
2009,2024-01-15 06:40:00,L49188,298.5,308.3,1811,24.7,27,0,No Failure,0
2010,2024-01-15 06:50:00,M16869,298.6,308.3,1717,28.7,29,0,No Failure,0
2011,2024-01-15 07:00:00,L49190,298.6,308.3,1278,60.5,32,0,No Failure,0
2012,2024-01-15 07:10:00,L49191,298.7,308.5,1616,30.2,34,0,No Failure,0
2013,2024-01-15 07:20:00,L49192,298.6,308.4,1397,46.4,36,0,No Failure,0
